"nacionality","sex","sport","edad","medallas"
"ESP","male","athletics",47,"NO"
"KOR","female","fencing",30,"NO"
"CAN","male","athletics",24,"SI"
"MDA","male","taekwondo",25,"NO"
"NZL","male","cycling",26,"NO"
"AUS","male","triathlon",26,"NO"
"USA","male","volleyball",23,"SI"
"AUS","male","aquatics",25,"NO"
"ESP","female","athletics",28,"NO"
"ETH","female","athletics",25,"NO"
"ETH","male","athletics",19,"NO"
"BRN","male","athletics",20,"NO"
"IOA","male","aquatics",24,"NO"
"USA","female","athletics",24,"NO"
"USA","female","aquatics",20,"SI"
"GBR","female","rugby sevens",20,"NO"
"UZB","male","wrestling",18,"NO"
"RSA","male","football",22,"NO"
"NZL","female","football",27,"NO"
"EGY","male","volleyball",27,"NO"
"MAR","male","athletics",29,"NO"
"QAT","male","athletics",19,"NO"
"SUD","male","athletics",20,"NO"
"EGY","male","shooting",28,"NO"
"MAR","male","athletics",23,"NO"
"ESP","male","athletics",25,"NO"
"SUD","male","aquatics",22,"NO"
"ALG","male","football",27,"NO"
"ALG","male","boxing",30,"NO"
"ALG","male","football",22,"NO"
"ALG","male","boxing",30,"NO"
"ALG","male","football",23,"NO"
"MAR","male","equestrian",54,"NO"
"EGY","male","rowing",28,"NO"
"EGY","male","wrestling",21,"NO"
"MAR","male","athletics",24,"NO"
"ALG","male","athletics",24,"NO"
"EGY","male","boxing",29,"NO"
"ALG","male","football",20,"NO"
"ALG","male","judo",31,"NO"
"ALG","male","cycling",21,"NO"
"ALG","male","football",22,"NO"
"DEN","male","athletics",25,"NO"
"NED","male","athletics",27,"NO"
"DJI","male","athletics",20,"NO"
"SEN","male","aquatics",28,"NO"
"CMR","female","volleyball",27,"NO"
"ITA","male","athletics",30,"NO"
"NIG","male","taekwondo",22,"SI"
"SWE","male","football",24,"NO"
"GHA","male","boxing",23,"NO"
"AFG","male","athletics",24,"NO"
"IOA","male","fencing",26,"NO"
"AZE","male","boxing",28,"NO"
"KSA","male","athletics",19,"NO"
"IOA","male","shooting",53,"SI"
"BAN","male","shooting",27,"NO"
"NGR","male","football",23,"SI"
"UZB","male","judo",35,"NO"
"IOA","male","shooting",30,"NO"
"RUS","male","wrestling",20,"SI"
"QAT","male","handball",26,"NO"
"GHA","male","aquatics",16,"NO"
"IND","male","shooting",34,"NO"
"USA","female","aquatics",27,"NO"
"HUN","female","judo",26,"NO"
"KAZ","male","boxing",19,"NO"
"BRN","male","athletics",23,"NO"
"BRN","male","athletics",24,"NO"
"BDI","male","athletics",27,"NO"
"ERI","male","athletics",22,"NO"
"QAT","male","athletics",20,"NO"
"MAR","male","boxing",26,"NO"
"BRN","male","wrestling",31,"NO"
"POL","male","badminton",31,"NO"
"HUN","male","aquatics",32,"NO"
"GBR","male","hockey",30,"NO"
"CAN","male","hockey",25,"NO"
"GBR","male","athletics",23,"NO"
"BRA","male","hockey",27,"NO"
"POL","male","athletics",27,"NO"
"SWE","male","football",22,"NO"
"HUN","male","modern pentathlon",32,"NO"
"GEO","male","judo",27,"NO"
"HUN","male","table tennis",38,"NO"
"GBR","male","aquatics",22,"SI"
"CZE","male","athletics",25,"NO"
"HUN","male","aquatics",21,"NO"
"AUS","male","shooting",45,"NO"
"SEY","male","aquatics",20,"NO"
"POL","male","handball",36,"NO"
"GBR","male","cycling",24,"NO"
"CAN","male","canoe",34,"NO"
"SEN","male","wrestling",28,"NO"
"GAM","male","athletics",23,"NO"
"LTU","male","basketball",27,"NO"
"IRI","male","volleyball",30,"NO"
"ESP","male","athletics",26,"NO"
"IRI","male","canoe",23,"NO"
"CZE","female","shooting",29,"NO"
"CZE","female","wrestling",22,"NO"
"ROU","female","rowing",28,"SI"
"ROU","female","athletics",23,"NO"
"NED","female","equestrian",37,"NO"
"USA","female","wrestling",25,"NO"
"ALG","male","wrestling",22,"NO"
"BRA","female","volleyball",30,"NO"
"EGY","male","wrestling",23,"NO"
"KAZ","male","boxing",27,"SI"
"BRA","male","golf",44,"NO"
"IND","female","golf",18,"NO"
"RUS","male","boxing",26,"NO"
"SWE","male","football",19,"NO"
"CUB","male","archery",28,"NO"
"BRA","male","aquatics",26,"NO"
"POL","male","athletics",26,"NO"
"CUB","male","athletics",28,"NO"
"ROU","male","table tennis",36,"NO"
"POL","male","badminton",26,"NO"
"CUB","male","volleyball",18,"NO"
"POL","male","weightlifting",27,"NO"
"ESP","male","volleyball",29,"NO"
"SLO","male","judo",21,"NO"
"BAH","male","athletics",32,"NO"
"ITA","male","volleyball",28,"NO"
"HUN","male","rowing",27,"NO"
